Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp,is_coastal_district,Season,Fatality_Rate
51,14th week,West Bengal,Hooghly,Cholera,50,0,6,4,2022,22.9052114,88.3760639,0.01606103471,,301.768,0,Summer,0.0
62,16th week,Odisha,Ganjam,Cholera,23,0,21,4,2022,19.4129711,85.04710406,,11.0,304.55333340000004,1,Summer,0.0
65,16th week,West Bengal,Howrah,Cholera,53,0,17,4,2022,22.5736296,88.3251045,0.002075951935,10.0,305.268,0,Summer,0.0
86,19th week,Karnataka,Kalaburagi,Cholera,144,0,7,5,2022,17.166667,77.083333,0.006687553635,3.0,318.132,0,Summer,0.0
165,23rd week,Tamil Nadu,Tiruchirappalli,Cholera,17,0,6,6,2022,10.7992254,78.6811423,0.05825984009,9.0,308.19,0,Monsoon,0.0
168,23rd week,Karnataka,Bbmp,Cholera,169,1,31,5,2022,13.058135,77.50646228,0.04676073172,12.0,302.68333340000004,0,Summer,0.591715976331361
255,14th week,West Bengal,Hooghly,Cholera,25,0,7,4,2021,22.9052114,88.3760639,0.03927329535,,305.37,0,Summer,0.0
282,22nd week,West Bengal,Purba Bardhaman,Cholera,29,0,31,5,2021,23.391717,87.90621212,0.8991830033,5.0,302.24,0,Summer,0.0
306,25th week,West Bengal,Birbhum,Cholera,51,0,17,6,2021,24.0,87.583333,0.9983273238,,297.26,0,Monsoon,0.0
307,26th week,Gujarat,Kheda,Cholera,10,0,29,6,2021,22.75,72.833333,0.04506399228,7.0,307.52,0,Monsoon,0.0
319,27th week,Gujarat,Gandhi Nagar,Cholera,6,0,3,7,2021,23.06016515,72.58063822,0.02590712702,,305.88,0,Monsoon,0.0
320,27th week,Gujarat,Kheda,Cholera,10,0,14,7,2021,22.75,72.833333,0.2755054941,5.0,311.66,0,Monsoon,0.0
328,28th week,Haryana,Panchkula,Cholera,440,1,13,7,2021,30.7137692,76.868276,0.453999401,8.0,305.1,0,Monsoon,0.22727272727272727
337,29th week,Haryana,Panchkula,Cholera,511,1,13,7,2021,30.7137692,76.868276,0.453999401,8.0,305.1,0,Monsoon,0.19569471624266144
353,31st week,Chandigarh,Chandigarh,Cholera,8,0,1,8,2021,30.72984395,76.78414567,2.63598158,12.0,,0,Monsoon,0.0
354,31st week,Gujarat,Vadodara,Cholera,3,0,31,7,2021,22.2973142,73.1942567,1.138774169,1.0,,0,Monsoon,0.0
356,31st week,Haryana,Yamuna Nagar,Cholera,21,0,3,8,2021,30.1389108,77.301064,2.54223063,12.0,,0,Monsoon,0.0
372,32nd week,Uttar Pradesh,Lucknow,Cholera,138,1,9,8,2021,26.8420098,80.94785711,0.2134510228,5.0,,0,Monsoon,0.7246376811594203
416,37th week,Chandigarh,Chandigarh,Cholera,11,0,1,8,2021,30.72984395,76.78414567,2.63598158,12.0,,0,Monsoon,0.0
420,38th week,Gujarat,Surat,Cholera,28,0,24,9,2021,21.19177615,72.95441578,0.3946962448,9.0,300.34000000000003,1,Monsoon,0.0
432,39th week,Uttar Pradesh,Azamgarh,Cholera,575,3,28,9,2021,26.02269675,83.02887343,0.3132791294,15.0,300.825,0,Monsoon,0.5217391304347827
433,39th week,Uttar Pradesh,Lucknow,Cholera,13,0,2,10,2021,26.8420098,80.94785711,0.2957323009,18.0,302.372,0,Post-Monsoon,0.0
434,39th week,Uttar Pradesh,Siddharth Nagar,Cholera,60,2,25,9,2021,27.25264095,82.86964796,0.2459655701,20.0,300.81333340000003,0,Monsoon,3.3333333333333335
443,40th week,Gujarat,Navsari,Cholera,72,0,4,10,2021,20.952407,72.9323831,2.271852291,10.0,298.36,1,Post-Monsoon,0.0
444,40th week,Gujarat,Surat,Cholera,15,0,8,10,2021,21.19177615,72.95441578,0.1717429095,,298.788,1,Post-Monsoon,0.0
454,40th week,West Bengal,Purulia,Cholera,28,0,3,10,2021,23.3291882,86.3672378,2.165862731,20.0,298.64,0,Post-Monsoon,0.0
462,40th week,West Bengal,North 24 Parganas,Cholera,1027,1,7,9,2021,22.642931,88.8930579,0.3785768589,17.0,301.31,1,Monsoon,0.09737098344693282
465,41st week,Karnataka,Kalaburagi,Cholera,5,0,11,10,2021,17.166667,77.083333,0.479176252,15.0,302.46,0,Post-Monsoon,0.0
470,41st week,West Bengal,Purulia,Cholera,22,0,13,10,2021,23.3291882,86.3672378,0.02310090096,21.0,301.0266666,0,Post-Monsoon,0.0
473,41st week,West Bengal,North 24 Parganas,Cholera,1027,1,7,9,2021,22.642931,88.8930579,0.3785768589,17.0,301.31,1,Monsoon,0.09737098344693282
507,45th week,Maharashtra,Kolhapur,Cholera,66,0,8,11,2021,16.7028412,74.2405329,0.0834295823,,305.62,0,Post-Monsoon,0.0
517,46th week,Maharashtra,Kolhapur,Cholera,3,0,12,11,2021,16.7028412,74.2405329,0.002023031746,10.0,304.7,0,Post-Monsoon,0.0
537,49th week,Kerala,Kozhikode,Cholera,1,0,8,12,2021,11.2450558,75.7754716,0.06338663021,33.0,,1,Winter,0.0
611,16th week,Puducherry,Puducherry,Cholera,2,0,1,4,2020,11.9340568,79.8306447,0.0002428910523,9.0,310.56333340000003,1,Summer,0.0
629,23rd week,Maharashtra,Kolhapur,Cholera,199,0,1,6,2020,16.7028412,74.2405329,0.007924493235,,312.65500000000003,0,Monsoon,0.0
674,46th week,Karnataka,Hassan,Cholera,37,0,2,11,2020,13.0070817,76.0992703,0.01716113645,16.0,301.036,0,Post-Monsoon,0.0
679,48th week,Maharashtra,Ratnagiri,Cholera,65,0,23,11,2020,17.2826079,73.4569787,0.01396026875,,302.812,1,Post-Monsoon,0.0
710,1st week,Dadra And Nagar Haveli,Dadra And Nagar Haveli,Cholera,6,0,4,1,2019,20.2712521,73.0014588,8.72e-05,9.0,304.0666666,0,Winter,0.0
773,11th week,Punjab,Hoshiarpur,Cholera,98,0,13,3,2019,31.60857425,75.84644247,0.2177767322,,296.14,0,Summer,0.0
814,19th week,Kerala,Wayanad,Cholera,15,0,6,5,2019,11.715219,76.12690295,0.2700844835,25.0,302.2666666,0,Summer,0.0
822,20th week,West Bengal,Howrah,Cholera,108,2,8,5,2019,22.5736296,88.3251045,0.6215048781,,305.0933334,0,Summer,1.8518518518518516
857,24th week,Delhi,North Delhi,Cholera,4,0,10,6,2019,28.78722785,77.09809033,0.06398791246,,316.6433334,0,Monsoon,0.0
859,24th week,Gujarat,Gandhi Nagar,Cholera,3,0,12,6,2019,23.06016515,72.58063822,7.08e-05,4.0,315.6,0,Monsoon,0.0
866,24th week,Punjab,Patiala,Cholera,141,2,16,6,2019,30.2090874,76.33987209,0.02437384092,3.0,315.21,0,Monsoon,1.4184397163120568
954,29th week,Punjab,Gurdaspur,Cholera,2,1,20,7,2019,32.166667,75.316667,0.3756475507,,300.1733334,0,Monsoon,50.0
